Date,High,Low,Close
19-03-2020,348.51001,316.820007,332.029999
20-03-2020,350.48999,332,332.829987
23-03-2020,366.109985,340.880005,360.269989
24-03-2020,372.929993,353.029999,357.320007
25-03-2020,362,339.170013,342.390015
26-03-2020,363.839996,341.730011,362.98999
27-03-2020,368.559998,353,357.119995
30-03-2020,377.799988,361.170013,370.959991
31-03-2020,383.01001,366.440002,375.5
01-04-2020,380.230011,361.019989,364.079987
02-04-2020,370.98999,360.059998,370.079987
03-04-2020,370.899994,357.51001,361.76001
06-04-2020,380.290009,361.709991,379.959991
07-04-2020,381.329987,369.339996,372.279999
08-04-2020,378.390015,368.309998,371.119995
09-04-2020,372.100006,363.029999,370.720001
13-04-2020,400.51001,367.700012,396.720001
14-04-2020,417.820007,394.850006,413.549988
15-04-2020,434.980011,412.25,426.75
16-04-2020,449.519989,431.609985,439.170013
17-04-2020,432,414.700012,422.959991
20-04-2020,444.48999,430.559998,437.48999
21-04-2020,447,425.600006,433.829987
22-04-2020,433,413,421.420013
23-04-2020,438.410004,419.26001,426.700012
24-04-2020,427.170013,415.880005,424.98999
27-04-2020,429,420.839996,421.380005
28-04-2020,421,402.910004,403.829987
29-04-2020,415.859985,393.600006,411.890015
30-04-2020,424.440002,408,419.850006
01-05-2020,427.970001,411.730011,415.269989
04-05-2020,428.540009,414.869995,428.149994
05-05-2020,431,421.559998,424.679993
06-05-2020,439.769989,426.390015,434.26001
07-05-2020,438.880005,430.660004,436.529999
08-05-2020,442,433.640015,435.549988
11-05-2020,444.890015,435.559998,440.519989
12-05-2020,444.170013,431.359985,431.820007
13-05-2020,447,427.269989,438.269989
14-05-2020,452.380005,432.820007,441.950012
15-05-2020,455,437.51001,454.190002
18-05-2020,456.359985,443.350006,452.579987
19-05-2020,458.970001,450.470001,451.040009
20-05-2020,455.809998,444,447.670013
21-05-2020,448.959991,430.25,436.25
22-05-2020,439.089996,427.179993,429.320007
26-05-2020,428.5,413.140015,414.769989
27-05-2020,420.019989,397.859985,419.890015
28-05-2020,422.369995,411.5,413.440002
29-05-2020,420.299988,411.850006,419.730011
01-06-2020,426.720001,415.980011,425.920013
02-06-2020,427.589996,419.459991,427.309998
03-06-2020,427.100006,418.049988,421.970001
04-06-2020,428.709991,410.029999,414.329987
05-06-2020,420.23999,404.25,419.600006
08-06-2020,420.799988,406.5,419.48999
09-06-2020,434.730011,420.309998,434.049988
10-06-2020,439.690002,430.549988,434.480011
11-06-2020,445.570007,424.160004,425.559998
12-06-2020,434.059998,412.450012,418.070007
15-06-2020,426.48999,415.420013,425.5
16-06-2020,437.959991,425.179993,436.130005
17-06-2020,450.459991,439.220001,447.769989
18-06-2020,452.76001,442.799988,449.869995
19-06-2020,453.970001,445.600006,453.720001
22-06-2020,468.589996,454.209991,468.040009
23-06-2020,474.01001,464.5,466.26001
24-06-2020,472.359985,454,457.850006
25-06-2020,467.01001,454,465.910004
26-06-2020,468.029999,442.23999,443.399994
29-06-2020,447.670013,432.140015,447.23999
30-06-2020,457.589996,447,455.040009
01-07-2020,488.230011,454,485.640015
02-07-2020,492.279999,475.529999,476.890015
06-07-2020,499.5,479.799988,493.809998
07-07-2020,504.820007,490.829987,493.160004
08-07-2020,505.100006,493.809998,502.779999
09-07-2020,510,495.779999,507.76001
10-07-2020,555.880005,511.279999,548.72998
13-07-2020,575.369995,520.960022,525.5
14-07-2020,525.5,490.48999,524.880005
15-07-2020,529,510.179993,523.26001
16-07-2020,535.539978,504.359985,527.390015
17-07-2020,503.589996,484.140015,492.98999
20-07-2020,504.5,484.200012,502.410004
21-07-2020,506.220001,488.609985,490.100006
22-07-2020,497.200012,487.200012,489.820007
23-07-2020,491.899994,472.019989,477.579987
24-07-2020,487.170013,467.540009,480.450012
27-07-2020,496.920013,482.309998,495.649994
28-07-2020,497.790009,487.76001,488.51001
29-07-2020,494.920013,484.130005,484.480011
30-07-2020,488.350006,477.51001,485.799988
31-07-2020,494.799988,484.5,488.880005
03-08-2020,503.089996,490.230011,498.619995
04-08-2020,510.440002,498.649994,509.640015
05-08-2020,510.100006,501.200012,502.109985
06-08-2020,510.820007,498.700012,509.079987
07-08-2020,508.290009,486.679993,494.730011
10-08-2020,497.459991,478.630005,483.380005
11-08-2020,480.920013,466.549988,466.929993
12-08-2020,482.48999,470.179993,475.470001
13-08-2020,484.450012,476.450012,481.329987
14-08-2020,488.329987,480.209991,482.679993
17-08-2020,486.23999,479.100006,482.350006
18-08-2020,495.299988,482.799988,491.869995
19-08-2020,494.5,483.5,484.529999
20-08-2020,498.940002,483.890015,497.899994
21-08-2020,498.130005,490,492.309998
24-08-2020,501,483.160004,488.809998
25-08-2020,492.470001,485.089996,490.579987
26-08-2020,549.039978,492.079987,547.530029
27-08-2020,541,521.25,526.27002
28-08-2020,539,522,523.890015
31-08-2020,531.98999,517.580017,529.559998
01-09-2020,557.390015,532.450012,556.549988
02-09-2020,556.5,537.369995,552.840027
03-09-2020,554,521.320007,525.75
04-09-2020,527.359985,485.980011,516.049988
08-09-2020,522,495,507.019989
09-09-2020,520,492.570007,500.190002
10-09-2020,506.290009,478.839996,480.670013
11-09-2020,493.730011,476.809998,482.029999
14-09-2020,488.98999,471.299988,476.26001
15-09-2020,497.470001,481.630005,495.98999
16-09-2020,504.660004,483.309998,483.859985
17-09-2020,478.399994,463.269989,470.200012
18-09-2020,479.399994,458.600006,469.959991
21-09-2020,487.779999,466.320007,487.350006
22-09-2020,491.820007,479.26001,491.170013
23-09-2020,491.040009,469,470.609985
24-09-2020,477,467.820007,473.079987
25-09-2020,484.869995,468.029999,482.880005
28-09-2020,492,477.880005,490.649994
29-09-2020,496.290009,486.529999,493.480011
30-09-2020,504.630005,489.269989,500.029999
01-10-2020,529.549988,503.600006,527.51001
02-10-2020,526.369995,502.700012,503.059998
05-10-2020,520.98999,501.700012,520.650024
06-10-2020,521.820007,504.160004,505.869995
07-10-2020,536.48999,515.820007,534.659973
08-10-2020,535,524.150024,531.789978
09-10-2020,544.280029,535,539.440002
12-10-2020,551.809998,538.23999,539.809998
13-10-2020,557.650024,537.200012,554.090027
14-10-2020,572.48999,541,541.450012
15-10-2020,551.219971,535.099976,541.940002
16-10-2020,554.330017,530.030029,530.789978
19-10-2020,541.799988,525.380005,530.719971
20-10-2020,533.780029,522.26001,525.419983
21-10-2020,506.850006,488.25,489.049988
22-10-2020,495.140015,482,485.230011
23-10-2020,490.059998,481.350006,488.279999
26-10-2020,496.820007,478.899994,488.23999
27-10-2020,490.48999,482.929993,488.929993
28-10-2020,494,483.279999,486.23999
29-10-2020,513.900024,479.339996,504.209991
30-10-2020,505.880005,472.209991,475.73999
02-11-2020,486.299988,475,484.119995
03-11-2020,495.309998,478.76001,487.220001
04-11-2020,507.730011,493.980011,496.950012
05-11-2020,518.72998,503.450012,513.76001
06-11-2020,515.210022,502.51001,514.72998
09-11-2020,495.850006,467.26001,470.5
10-11-2020,484.600006,463.410004,480.23999
11-11-2020,491.679993,478.26001,490.76001
12-11-2020,496.519989,480.429993,486.769989
13-11-2020,488.940002,477.799988,482.839996
16-11-2020,485.579987,477.299988,479.100006
17-11-2020,487.51001,478.850006,480.630005
18-11-2020,488.609985,477.720001,481.790009
19-11-2020,487.799988,480.470001,484.670013
20-11-2020,494.76001,481.570007,488.23999
23-11-2020,491.149994,475.839996,476.619995
24-11-2020,484.049988,475.890015,482.880005
25-11-2020,486.899994,478.920013,485
27-11-2020,493.25,481.850006,491.359985
30-11-2020,492.549988,481.269989,490.700012
01-12-2020,509.470001,491.980011,504.579987
02-12-2020,506.799988,493.5,503.380005
03-12-2020,508.769989,496.040009,497.519989
04-12-2020,504.5,493.640015,498.309998
07-12-2020,517.76001,497.769989,515.780029
08-12-2020,521.48999,505.549988,512.659973
09-12-2020,514.5,491.290009,493.600006
10-12-2020,503.769989,492.910004,501.089996
11-12-2020,503.339996,494.850006,503.220001
